60794;BOBY WIEŚ 3  [14/46];         ;         
60795;BOBY WIEŚ 4  [14/47];51.034033;22.020083
35005;BOCHOTNICA 1;51.339675;21.991133
35006;BOCHOTNICA 2;51.339340;21.977066
35007;BOCHOTNICA 3;51.340747;21.993494
31073;BOCHOTNICA 4;51.338050;22.004067
31074;BOCHOTNICA 5;51.336617;22.002458
31108;BOCHOTNICA 6;51.335769;21.996861
31109;BOCHOTNICA 7;51.343808;21.989217
31111;BOCHOTNICA 8;51.340606;21.984461
31469;BOCHOTNICA 9;51.335464;22.020775
31028;BOCHOTNICA K/N;51.284641;22.230964
31029;BOCHOTNICA KOL 1;51.277453;22.258129
31030;BOCHOTNICA KOL 2;51.270550;22.242114
35011;BOGUCIN 1;51.337963;22.362242
35367;BOGUCIN 2;51.332020;22.359195
35368;BOGUCIN 3;51.331730;22.356319
31159;BOGUCIN 4;51.347555;22.357671
31160;BOGUCIN 5;51.344701;22.364066
31672;BOGUCIN 6;51.321908;22.386789
35012;BOGUCIN KOL 1;51.335481;22.346889
35013;BOGUCIN KOL 2;51.327009;22.371533
35014;BOGUCIN KOL 3;51.329101;22.385137
35015;BOGUCIN KOL 4;51.324853;22.396767
31158;BOGUCIN KOL 5;51.336215;22.376189
31461;BOGUCIN KOL 6;51.327511;22.390797
31670;BOGUCIN KOL 7;51.339472;22.354414
60044;BOISKA 1  [4/43];50.993839;21.962490
60767;BOISKA 2  [4/44];         ;         
60768;BOISKA 3  [5/48];50.992729;21.967764
60069;BOISKA KOL. 1  [5/45];         ;         
60791;BOISKA KOL. 2  [5/46];         ;         
60119;BOISKA KOL.GS  [5/44];         ;         
30022;BORKI 1;51.660397;22.105458
31154;BORKI 2;51.661375;22.108295
60281;BORKOWIZNA 1  [13/63];51.106059;22.341057
60754;BORKOWIZNA 2  [13/64];         ;         
31183;BORKÓW 1;51.381748;22.390180
31184;BORKÓW 2;51.383096;22.381955
31185;BORKÓW 3;51.379935;22.400121
30023;BOROWA;51.540128;21.844556
30024;BOROWINA;51.517447;21.881795
61109;BORÓW 1  [15/24];         ;         
60286;BORÓW CHRZANÓW  [13/69];51.101563;22.230238
60288;BORÓW KOL. 1  [13/70];         ;         
